days,daily_dust_count,daily_dust_std
2021/09/09,15,0
2021/09/10,16,0.483045891539648
2021/09/11,14,0
2021/09/12,NaN,NaN
2021/09/13,NaN,NaN
2021/09/14,NaN,NaN
2021/09/15,NaN,NaN
2021/09/16,NaN,NaN
2021/09/17,NaN,NaN
2021/09/18,NaN,NaN
2021/09/19,NaN,NaN
2021/09/20,NaN,NaN
2021/09/21,17,0
2021/09/22,5,0.316227766016838
2021/09/23,13,0
2021/09/24,16,0.516397779494322
2021/09/25,15,0.483045891539648
2021/09/26,14,0.316227766016838
2021/09/27,20,0
2021/09/28,18,0
2021/09/29,9,0.516397779494322
2021/09/30,10,0.516397779494322
2021/10/01,11,0.516397779494322
2021/10/02,14,0
2021/10/03,12,0
2021/10/04,8,0
2021/10/05,9,0
2021/10/06,14,0
2021/10/07,6.5,0.52704627669473
2021/10/08,10,0
2021/10/09,17,0
2021/10/10,9,0
2021/10/11,5,0
2021/10/12,6,0
2021/10/13,17,0
2021/10/14,13,0.421637021355784
2021/10/15,17,0.471404520791032
2021/10/16,10,0
2021/10/17,9,0
2021/10/18,14,0
2021/10/19,NaN,NaN
2021/10/20,NaN,NaN
2021/10/21,7.5,0.52704627669473
2021/10/22,13,0
2021/10/23,0,0
2021/10/24,NaN,NaN
2021/10/25,NaN,NaN
2021/10/26,NaN,NaN
2021/10/27,NaN,NaN
2021/10/28,NaN,NaN
2021/10/29,NaN,NaN
2021/10/30,NaN,NaN
2021/10/31,NaN,NaN
2021/11/01,16,0.632455532033676
2021/11/02,8,0
2021/11/03,11,0
2021/11/04,16,0.316227766016838
2021/11/05,4,0.516397779494322
2021/11/06,12,0
2021/11/07,6,0
2021/11/08,7,1.05409255338946
2021/11/09,6,0
2021/11/10,8,0.421637021355784
2021/11/11,4,0
2021/11/12,NaN,NaN
2021/11/13,NaN,NaN
2021/11/14,NaN,NaN
2021/11/15,2,0
2021/11/16,6,0
2021/11/17,8,0
2021/11/18,8,0
2021/11/19,5,0
2021/11/20,9,0.483045891539648
2021/11/21,4,0
2021/11/22,3,0
2021/11/23,10,0
2021/11/24,5,0
2021/11/25,4,0
2021/11/26,6,0.316227766016838
2021/11/27,1,0
2021/11/28,NaN,NaN
2021/11/29,NaN,NaN
2021/11/30,NaN,NaN
2021/12/01,NaN,NaN
2021/12/02,NaN,NaN
2021/12/03,4.5,0.699205898780101
2021/12/04,8,0
2021/12/05,2,0
