year,month,day,duty cycle [day],tds_fit [/day],svm_fit [/day],cnn_fit [/day]
2020,9,2,0.06221219073252185,73.49423767902607,119.21755528992148,107.98316945338851
2020,9,3,0.06221219073252185,73.27535353723184,119.0701853652231,107.83710785806007
2020,9,4,0.06221219073252185,73.0755236560656,118.935644259145,107.70376118891275
2020,9,5,0.06221219073252185,72.89417803879878,118.8135482053061,107.58274908658919
2020,9,6,0.06214274456612276,72.73068478905347,118.7034717616398,107.47364988603735
2020,9,7,0.06221219073252185,72.58460255962953,118.60511777869019,107.37616907585215
2020,9,8,0.061969129150125035,72.45554612626277,118.51822689335148,107.2900495955169
2020,9,9,0.06221219073252185,72.34313026468894,118.44253974251802,107.21503438451488
2020,9,10,0.06222376509358837,72.24696975064384,118.37779696308402,107.15086638232935
2020,9,11,0.06221219073252185,72.16667935986322,118.32373919194377,107.0972885284436
2020,9,12,0.06221219073252185,72.10187386808289,118.28010706599156,107.05404376234091
2020,9,13,0.06225848817678791,72.05216805103859,118.24664122212162,107.02087502350454
2020,9,14,0.06227006253785442,72.017226511649,118.22311584478513,106.9975585011442
2020,9,15,0.06202700095545761,71.99687951694634,118.20941665647211,106.98398093228951
2020,9,16,0.06227006253785442,71.99088635398357,118.20538159039884,106.97998168896274
2020,9,17,0.06227006253785442,71.99902854101117,118.21086354756258,106.98541497808532
2020,9,18,0.06227006253785442,72.02110889936537,118.22572977186417,107.00014922214797
2020,9,19,0.06207329839972367,72.05695115817619,118.24986158396655,107.02406679543202
2020,9,20,nan,72.10639786434228,118.28315297412641,107.0570626293337
2020,9,21,nan,72.16931209046517,118.32551175210907,107.09904535207019
2020,9,22,nan,72.24557364489735,118.3768569954964,107.14993475964117
2020,9,23,nan,72.33508156254813,118.43712072669216,107.20966347794588
2020,9,24,nan,72.4377519525995,118.50624646383599,107.27817552656197
2020,9,25,nan,72.55351774568473,118.58418905058426,107.3554261500374
2020,9,26,nan,72.68232867778322,118.67091464526679,107.44138180714357
2020,9,27,0.06017510318481522,72.82414995497737,118.7663998218968,107.53601927986632
2020,9,28,0.06223533945465488,72.97896328028943,118.8706322615177,107.63932635861502
2020,9,29,0.06198070351119155,73.14676561649227,118.98360991923064,107.75130101664513
2020,9,30,0.06223533945465488,73.32756932425241,119.10534111720315,107.87195150224113
2020,10,1,0.06147143162426489,73.52140187475766,119.23584435118758,108.00129614695271
2020,10,2,0.06222376509358837,73.72830564220445,119.37514815080732,108.1393632271213
2020,10,3,0.06220061637145533,73.94833831802012,119.52329135844371,108.28619124029109
2020,10,4,0.05221194277105293,74.18157110738346,119.68032191499255,108.44182770174534
2020,10,5,0.06221219073252185,74.42809169253366,119.84629885499551,108.60633112192542
2020,10,6,0.06195755478905852,74.68800036407289,120.0212897019304,108.77976842484526
2020,10,7,0.06221219073252185,74.96141368627235,120.20537293598187,108.9622173939535
2020,10,8,0.06218904201038882,75.24846258323682,120.39863670549775,109.15376539502935
2020,10,9,0.06223533945465488,75.54929273360324,120.60117909273097,109.35450963956544
2020,10,10,0.06221219073252185,75.86406475366229,120.8131082371313,109.56455730696472
2020,10,11,0.06213117020505624,76.19295446124869,121.03454251301704,109.78402572063503
2020,10,12,0.06221219073252185,76.53615308702507,121.26561067182772,110.01304248897884
2020,10,13,0.061969129150125035,76.8938668435176,121.50645155196526,110.25174521781031
2020,10,14,0.06222376509358837,77.266318184292,121.75721492656974,110.5002823506048
2020,10,15,0.05767504119444799,77.65374550086732,122.01806129945804,110.75881296624893
2020,10,16,0.062246913815721394,78.05640345502994,122.28916212886362,111.0275070007942
2020,10,17,0.062177467649322304,78.47456397355668,122.57070049716188,111.30654591123657
2020,10,18,0.06211959584398973,78.90851462849713,122.86287002034965,111.59612159467736
2020,10,19,0.062246913815721394,79.35856247813597,123.16587743408127,111.89643895140104
2020,10,20,0.061969129150125035,79.82503035811806,123.47994009656409,112.20771340993947
2020,10,21,0.06222376509358837,80.30826116909563,123.80528887533785,112.530173788223
2020,10,22,0.06221219073252185,80.80861641118904,124.14216716055897,112.86406131562462
2020,10,23,0.06222376509358837,81.32647699360766,124.49083141010075,113.20963017322087
2020,10,24,0.06222376509358837,81.86224446178468,124.85155197575648,113.56714831266001
2020,10,25,0.06194598042799201,82.41634003698536,125.2246124566285,113.93689681529168
2020,10,26,0.06199227787225806,82.98920791402855,125.61031191941248,114.31917209273955
2020,10,27,0.06152930342959747,83.58131306838355,126.00896342196327,114.71428442357518
2020,10,28,0.06200385223332458,84.19314448594773,126.42089618783395,115.1225601085514
2020,10,29,0.0620154265943911,84.82521506734466,126.8464555418418,115.54434140674059
2020,10,30,0.0620154265943911,85.47806124640678,127.28600265320104,115.97998628094771
2020,10,31,0.0620154265943911,86.15224920975967,127.73991872303337,116.42987254804473
2020,11,1,0.06191125734479246,86.84835742760396,128.208593222724,116.89438622174497
2020,11,2,0.06199227787225806,87.56712952243399,128.6925268171,117.37402352204387
